,,,
NEO CANDO Data Export,,,
,,,
County,Census Tract,pct_white,moe
Cuyahoga,1941,92.83,1.71
Cuyahoga,1943,90.99,5.91
Cuyahoga,1945,96.74,2.76
Cuyahoga,1948,21.44,6.29
Cuyahoga,1949,82.39,5.88
Cuyahoga,1956,17.51,5.24
Cuyahoga,1957,40.5,5.4
Cuyahoga,1958,85.44,4.87
Cuyahoga,1959,98.05,1.78
Cuyahoga,1960,37.03,4.45
Cuyahoga,1961,86.44,4.39
Cuyahoga,1962,6.17,2.65
Cuyahoga,1963,93.56,3.88
Cuyahoga,1964,38.01,11.01
Cuyahoga,1965,1.35,1.13
Cuyahoga,9801,null,null
Cuyahoga,9805,null,null
Cuyahoga,9811,null,null
Cuyahoga,9966,null,null
Cuyahoga,9977,null,null
Cuyahoga,9988,null,null
Cuyahoga,9999,null,null
